epoch,step,train_loss
0,49,0.022892693057656288
0,99,0.01423565298318863
0,149,0.021754493936896324
0,199,0.020473292097449303
0,249,0.03267917037010193
0,299,0.02002563327550888
0,349,0.0164753720164299
0,399,0.037512749433517456
1,449,0.03666239231824875
1,499,0.13888344168663025
1,549,0.015363665297627449
1,599,0.02741459384560585
1,649,0.0675342008471489
1,699,0.00117885519284755
1,749,0.013827495276927948
1,799,0.03664533048868179
2,849,0.007359894923865795
2,899,0.10183147341012955
2,949,0.005701418966054916
2,999,0.007746686227619648
2,1049,0.05781351029872894
2,1099,0.010784415528178215
2,1149,0.01602395623922348
2,1199,0.06558890640735626
3,1249,0.008815125562250614
3,1299,0.03350169584155083
3,1349,0.0029826739337295294
3,1399,0.04717539623379707
3,1449,0.06015639752149582
3,1499,0.008652962744235992
3,1549,0.013670362532138824
3,1599,0.10493306815624237
4,1649,0.0655227079987526
4,1699,0.214253231883049
4,1749,0.008833495900034904
4,1799,0.018100092187523842
4,1849,0.08044107258319855
4,1899,0.008123490028083324
4,1949,0.006882857531309128
4,1999,0.09291137009859085
5,2049,0.01298459991812706
5,2099,0.050907909870147705
5,2149,0.01376601867377758
5,2199,0.043823789805173874
5,2249,0.06440287083387375
5,2299,0.014657745137810707
5,2349,0.0030824728310108185
5,2399,0.08450796455144882
5,2449,0.00810333527624607
6,2499,0.10561025142669678
6,2549,0.020599130541086197
6,2599,0.04778852313756943
6,2649,0.06177539750933647
6,2699,0.0039216298609972
6,2749,0.003603200428187847
6,2799,0.06641411036252975
6,2849,0.012842239812016487
7,2899,0.08627469092607498
7,2949,0.003881648415699601
7,2999,0.052448950707912445
7,3049,0.09088914096355438
7,3099,0.006535607390105724
7,3149,0.016715390607714653
7,3199,0.05689247325062752
7,3249,0.03566611558198929
8,3299,0.03479883447289467
8,3349,0.09225789457559586
8,3399,0.08005253970623016
8,3449,0.08103691041469574
8,3499,0.017910268157720566
8,3549,0.004323921632021666
8,3599,0.06183704733848572
8,3649,0.07485044002532959
9,3699,0.16893993318080902
9,3749,0.0009770146571099758
9,3799,0.031021108850836754
9,3849,0.07054002583026886
9,3899,0.02433948405086994
9,3949,0.007454092614352703
9,3999,0.0723954290151596
9,4049,0.08457158505916595
